client_id,gendr,clnt_age,logons_6_mnth,clnt_tenure_yr,clnt_tenure_mnth,num_accts,bal,calls_6_mnth
7950666,U,52.0,8,5,62,4,364711.79,5
7950669,M,59.0,4,8,107,2,114811.33,1
7950766,U,62.5,7,7,94,3,692788.8,4
7950795,U,32.5,4,7,86,2,48412.31,1
7950882,F,51.5,4,15,181,2,184247.79,1
7951092,F,38.5,9,18,226,3,612669.87,6
7951212,U,30.0,6,6,75,2,33097.35,3
7951273,M,56.0,9,12,154,3,170764.13,6
7951392,F,29.0,4,28,338,2,59950.41,1
7951576,U,28.0,9,5,67,3,33730.43,6
7951845,F,28.0,4,13,164,2,119821.63,1
7952166,F,32.0,7,14,168,2,41616.55,4
7952858,F,57.0,3,15,180,2,122663.13,0
7952920,U,46.5,4,7,94,2,54355.3,1
7953182,U,60.5,8,5,64,2,196550.5,5
7953362,U,24.5,8,7,85,2,68230.93,5
7953367,U,66.5,9,5,60,2,160537.77999999997,6
7953598,U,17.5,3,4,58,2,40087.02,0
7953995,M,22.5,7,21,263,2,42649.59,4
7954237,U,27.5,9,8,96,2,31848.11,6
7954312,M,30.0,8,9,119,3,108835.47,5
7954546,M,63.5,6,10,120,2,185825.79,3
7954714,F,46.0,4,15,180,2,50837.96,1
7954753,U,66.0,3,6,77,2,101103.73,0
7954907,F,33.5,9,16,197,2,76774.6,6
7955487,M,32.0,5,11,140,2,37479.17,2
7955667,U,63.5,9,7,84,2,33149.85,6
7956085,F,58.0,3,11,137,2,110002.83,0
7956113,F,24.5,4,8,105,2,35009.119999999995,0
7956471,F,60.5,6,20,248,2,51923.92,3
7956518,M,70.0,6,14,169,2,372835.34,3
7956645,F,51.0,7,18,226,3,425295.03,4
7956919,F,48.5,6,21,263,3,47070.53999999999,3
7957034,U,36.0,9,4,55,2,162966.19,6
7957253,F,32.5,4,13,166,2,85153.66,1
7957282,M,41.5,9,16,193,2,101360.36,6
7957576,U,53.5,6,7,90,2,53047.2,3
7957596,M,37.5,7,15,189,2,44171.17,4
7957690,F,78.5,9,5,60,2,158002.90000000002,6
7958034,F,55.5,4,24,288,3,24087.17,0
7958329,F,31.0,7,9,112,4,147390.16,4
7958380,U,56.5,3,6,77,2,98336.98,0
7958761,M,60.0,4,13,166,2,24039.94,1
7958815,F,62.5,6,12,150,2,28076.67,3
7958919,U,70.0,7,3,42,2,24793.87,3
7959359,M,27.5,3,23,277,2,87430.18,0
7959414,F,72.5,4,31,373,2,85416.26,1
7959689,F,51.5,8,5,67,2,101939.57,5
7959734,U,48.0,9,8,100,2,25907.58,6
7960094,M,73.0,9,13,158,2,122975.81,6
7960156,F,68.5,9,19,228,5,234294.37,6
7961024,U,51.5,6,6,78,3,47064.53999999999,3
7961086,F,58.5,3,16,202,2,87788.0,0
7961209,F,65.0,7,15,189,2,139823.94,4
7961481,F,50.5,9,17,215,2,166258.55,6
7961597,F,66.5,6,13,156,2,45602.45,3
7961770,U,24.0,6,5,71,4,94766.26,3
7961816,U,29.0,3,5,65,2,44332.26,0
7962018,U,26.5,5,7,89,2,60540.0,2
7962046,U,65.5,9,21,262,2,50816.03999999999,6
7962192,M,48.0,6,15,184,3,354518.7,3
7962393,F,42.5,5,21,253,3,312277.66,2
7963417,F,40.0,6,20,251,2,79953.38,3
7963456,U,43.5,5,6,75,2,25643.06,2
7963462,F,63.0,6,15,191,2,106726.18,3
7963601,U,40.0,3,7,94,2,31963.72,0
7963969,M,54.5,8,22,265,3,460148.67,5
7963993,M,37.5,4,16,193,2,60554.15,1
7964160,M,25.0,7,9,116,2,42899.2,4
7964370,U,24.0,5,4,57,3,185571.75,2
7964421,M,51.5,4,8,106,2,55189.7,1
7964576,F,65.0,4,10,130,2,48391.49,1
7965057,F,46.0,9,22,274,4,127330.01,6
7965530,M,63.5,9,19,239,3,52846.66,6
7965693,U,26.5,4,8,98,3,36526.65,1
7966006,U,45.0,4,3,46,2,36608.5,1
7966133,U,25.0,6,11,137,2,30576.78,3
7966136,F,72.5,6,5,67,2,38335.08,3
7966256,F,68.0,3,25,302,2,110529.65,0
7966415,U,28.0,4,5,71,3,140778.19,1
7966615,U,23.0,9,6,82,2,46983.42,6
7966736,F,51.0,5,4,54,2,82862.57,2
7967256,U,38.5,4,6,75,2,45291.84,1
